Competidor,Fecha,Producto1,Tipo
Competidor10,26/09/21,47154744,Hist—rico
Competidor10,10/10/21,48192352.5,Hist—rico
Competidor10,17/10/21,46721702.96,Hist—rico
Competidor10,24/10/21,47465891,Hist—rico
Competidor10,31/10/21,45290065.3,Hist—rico
Competidor10,07/11/21,46541488,Hist—rico
Competidor10,14/11/21,44509436.82,Hist—rico
Competidor10,21/11/21,45867433.42,Hist—rico
Competidor10,28/11/21,41448559.26,Hist—rico
Competidor10,02/12/21,40734707.7,Hist—rico
Competidor10,05/12/21,43734617.7,Hist—rico
Competidor10,12/12/21,43374029.5,Hist—rico
Competidor10,19/12/21,44772053.46,Hist—rico
Competidor10,26/12/21,43282145,Hist—rico
Competidor10,09/01/22,41129043.4,Hist—rico
Competidor10,16/01/22,41230501.9,Hist—rico
Competidor10,23/01/22,38892320,Hist—rico
Competidor10,30/01/22,39808047.5,Hist—rico
Competidor10,06/02/22,39953249,Hist—rico
Competidor10,13/02/22,41230773.5,Hist—rico
Competidor10,20/02/22,42682767.5,Hist—rico
Competidor10,27/02/22,41877402,Hist—rico
Competidor10,03/03/22,42590943.3,Hist—rico
Competidor10,06/03/22,43768313.4,Hist—rico
Competidor10,13/03/22,42488160.2,Hist—rico
Competidor10,20/03/22,42507707,Hist—rico
Competidor10,27/03/22,43279365.46,Hist—rico
Competidor10,01/04/22,43861025.92,Hist—rico
Competidor10,10/04/22,43246341.96,Hist—rico
Competidor10,17/04/22,41876017.84,Hist—rico
Competidor10,24/04/22,43099311,Hist—rico
Competidor10,08/05/22,43983489.5,Hist—rico
Competidor2,06/01/19,40087478,Hist—rico
Competidor2,13/01/19,43198724.25,Hist—rico
Competidor2,20/01/19,40884593.4,Hist—rico
Competidor2,27/01/19,42915201.6,Hist—rico
Competidor2,03/02/19,40878248.5,Hist—rico
Competidor2,10/02/19,45095990.5,Hist—rico
Competidor2,17/02/19,40817901,Hist—rico
Competidor2,24/02/19,44470101.2,Hist—rico
Competidor2,03/03/19,41516266.7,Hist—rico
Competidor2,10/03/19,45266247.8,Hist—rico
Competidor2,17/03/19,41438561.2,Hist—rico
Competidor2,24/03/19,43925497,Hist—rico
Competidor2,31/03/19,42205949,Hist—rico
Competidor2,07/04/19,45738068,Hist—rico
Competidor2,14/04/19,44280235.5,Hist—rico
Competidor2,21/04/19,45814207.3,Hist—rico
Competidor2,28/04/19,43930480.75,Hist—rico
Competidor2,05/05/19,47180493.9,Hist—rico
Competidor2,12/05/19,46125845.6,Hist—rico
Competidor2,19/05/19,47193013.95,Hist—rico
Competidor2,26/05/19,46714521,Hist—rico
Competidor2,02/06/19,47091164.5,Hist—rico
Competidor2,09/06/19,49272876.3,Hist—rico
Competidor2,16/06/19,51634436.55,Hist—rico
Competidor2,23/06/19,48350524.7,Hist—rico
Competidor2,30/06/19,52769548.1,Hist—rico
Competidor2,07/07/19,47535250.3,Hist—rico
Competidor2,14/07/19,46120367.9,Hist—rico
Competidor2,21/07/19,45250462.6,Hist—rico
Competidor2,28/07/19,47118017.36,Hist—rico
Competidor2,04/08/19,46092987.65,Hist—rico
Competidor2,11/08/19,48478282.1,Hist—rico
Competidor2,18/08/19,45760824.45,Hist—rico
Competidor2,25/08/19,46547175.9,Hist—rico
Competidor2,01/09/19,46427195.7,Hist—rico
Competidor2,08/09/19,47273826.45,Hist—rico
Competidor2,15/09/19,45088563.5,Hist—rico
Competidor2,22/09/19,46534934,Hist—rico
Competidor2,29/09/19,44206541.1,Hist—rico
Competidor2,06/10/19,46381140.16,Hist—rico
Competidor2,13/10/19,44752742.5,Hist—rico
Competidor2,20/10/19,46097868.35,Hist—rico
Competidor2,27/10/19,42028367.25,Hist—rico
Competidor2,03/11/19,42880532.15,Hist—rico
Competidor2,10/11/19,43132257.75,Hist—rico
Competidor2,17/11/19,42833543,Hist—rico
Competidor2,24/11/19,41861002.6,Hist—rico
Competidor2,01/12/19,40918209.05,Hist—rico
Competidor2,08/12/19,42593549.6,Hist—rico
Competidor2,15/12/19,42504668.7,Hist—rico
Competidor2,22/12/19,41893903.55,Hist—rico
Competidor2,29/12/19,39100872,Hist—rico
Competidor2,05/01/20,39290829.35,Hist—rico
Competidor2,12/01/20,41579139.8,Hist—rico
Competidor2,19/01/20,38657868.75,Hist—rico
Competidor2,26/01/20,40110406.45,Hist—rico
Competidor2,02/02/20,39141643.84,Hist—rico
Competidor2,09/02/20,42452000.3,Hist—rico
Competidor2,16/02/20,40102330,Hist—rico
Competidor2,23/02/20,40478897.25,Hist—rico
Competidor2,01/03/20,39118917.5,Hist—rico
