,Fecha,Tipo,Credito_SistemaBancario,Consumo_SistemaBancario,Vivienda_SistemaBancario,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
28,2024-04-01,Actual,6965554.0,1261467.0,1243397.0,1715694.0,320381.0,316449.0,868260.0,213172.0,212372.0,1019013.0,240696.0,235888.0,598982.0,70866.0,70433.0,481142.0,133546.0,129338.0
29,2024-05-01,Actual,7040481.0,1095861.0,1117766.0,1740008.0,330110.0,286945.0,876274.0,131543.0,197375.0,1032515.0,132174.0,204406.0,603524.0,162932.0,70681.0,483135.0,78814.0,107138.0
30,2024-06-01,Actual,7161459.0,1276063.0,1230778.0,1786581.0,383699.0,313913.0,874313.0,159911.0,211257.0,1055054.0,157446.0,232828.0,611419.0,184160.0,69626.0,487044.0,90835.0,126933.0
31,2024-07-01,Actual,7229546.0,1078489.0,1105874.0,1814430.0,324191.0,283937.0,880157.0,129543.0,195642.0,1061820.0,129588.0,202988.0,612394.0,160662.0,70699.0,498408.0,77659.0,105107.0
32,2024-08-01,Actual,7351193.0,1275476.0,1230778.0,1848363.0,383699.0,313913.0,897751.0,159911.0,211257.0,1077778.0,157446.0,232828.0,615260.0,184160.0,69626.0,497798.0,90835.0,126933.0
33,2024-09-01,Actual,7341347.0,1242673.0,1218094.0,1839031.0,373278.0,310821.0,874142.0,154180.0,210807.0,1079814.0,152092.0,228797.0,620252.0,179881.0,69120.0,503556.0,88337.0,123938.0
34,2024-10-01,Actual,7416394.0,1051320.0,1414352.0,1872621.0,314163.0,363233.0,901098.0,125130.0,236885.0,1090778.0,126151.0,270698.0,626029.0,159183.0,73405.0,502511.0,75407.0,152457.0
35,2024-11-01,Actual,7581259.0,1229187.0,1424642.0,1931397.0,370908.0,366731.0,914842.0,150869.0,238532.0,1117860.0,150237.0,272886.0,634649.0,178713.0,74356.0,513341.0,86863.0,152827.0
36,2024-12-01,Actual,7659432.0,1242673.0,1432357.0,1943751.0,373278.0,368911.0,891438.0,154180.0,240141.0,1137460.0,152092.0,274789.0,462724.0,179881.0,75873.0,511046.0,88337.0,153221.0
37,2025-01-31,Pronostico,7716146.001248264,1238145.256178157,1432367.1485306998,1960582.1589669876,371996.89311615605,368955.16131311835,891549.719825761,152278.55335951754,240192.54533975065,1146300.5515880436,153097.21038446185,270239.4400592928,461999.00763790926,178515.4729858885,75912.1804447584,514308.51872646547,87431.15972745717,152361.0993836254
38,2025-02-28,Pronostico,7772856.951084925,1236887.841069477,1432368.683168706,1977412.5010203293,371678.47862755187,368961.44914611476,891528.9619947564,151854.83459453683,240200.9229193697,1155141.074163441,153698.58414186264,274788.3389679516,461365.9816672323,178350.15432160711,75914.2528947468,517570.8812686662,87222.24587482431,152889.17178161108
39,2025-03-31,Pronostico,7829564.84967416,1236538.6400506585,1432368.9152332167,1994242.0261996745,371599.3378565267,368962.34442845575,891532.8188531527,151760.41301678948,240202.28451365957,1163981.5677262878,154058.3599675809,270240.1009952961,460813.2560103772,178330.1398799466,75914.36251700812,520833.087634079,87174.06409361536,152564.87795950632
40,2025-04-30,Pronostico,7886269.697180136,1236441.6622501675,1432368.9503254904,2011070.7345446707,371579.66770374594,368962.4719016998,891532.1022389416,151739.37209275886,240202.5058113487,1172822.0322766788,154273.59823359823,274787.6781279796,460330.64444956055,178327.71681491204,75914.36831547866,524095.13783018047,87162.95193417161,152764.0295975326
41,2025-05-31,Pronostico,7942971.493767013,1236414.7302159488,1432368.9556320652,2027898.6260949639,371574.77875832113,368962.4900517595,891532.2353877054,151734.6833288701,240202.54177849955,1181662.4678147095,154402.36594906563,270240.76173925074,459909.2529043243,178327.4234645273,75914.3686221888,527357.0318644468,87160.38913793607,152641.728855967
42,2025-06-30,Pronostico,7999670.23959894,1236407.2508292904,1432368.9564345134,2044725.7008901977,371573.56362859474,368962.4926360247,891532.2106483226,151733.6384837496,240202.54762418167,1190502.874340475,154479.402086057,274787.01748002827,459541.31552193733,178327.38794981886,75914.36863841224,530618.7697443538,87159.79808049327,152716.8347980307
43,2025-07-31,Pronostico,8056365.93484006,1236405.1737034286,1432368.9565558578,2061551.9589700138,371573.2616124903,368962.4930039809,891532.2152449635,151733.40565024555,240202.5485742708,1199343.2518540707,154525.4894642559,270241.4222912127,459220.05155998026,178327.38365020114,75914.36863927038,533880.351477377,87159.66176497359,152670.71159010028
44,2025-08-31,Pronostico,8113058.579654504,1236404.5968577536,1432368.9565742072,2078377.4003740523,371573.1865474784,368962.4930563717,891532.2143908958,151733.35376557906,240202.54872868722,1208183.6003555916,154553.06154292185,274786.3570240417,458939.54042359407,178327.38312966435,75914.36863931577,537141.7770709915,87159.63032653874,152699.03625059105
45,2025-09-30,Pronostico,8169748.174206396,1236404.4366599827,1432368.956576982,2095202.0251419514,371573.16789034085,368962.4930638313,891532.2145495837,151733.34220358919,240202.54875378427,1217023.919845133,154569.5567212477,270242.0826512377,458694.6125544445,178327.38306664512,75914.36863931817,540403.0465326719,87159.62307589561,152681.64183186094
46,2025-10-31,Pronostico,8226434.718659851,1236404.3921709158,1432368.9565774016,2112025.833313347,371573.16325317667,368962.4930648934,891532.2145200991,151733.33962711296,240202.54875786326,1225864.2103227903,154579.42507072174,274785.6967599642,458480.754160589,178327.38305901564,75914.3686393183,543664.1598698928,87159.6214036805,152692.3238946894
47,2025-11-30,Pronostico,8283118.213178975,1236404.379815706,1432368.9565774652,2128848.824927873,371573.1621006263,368962.49306504463,891532.2145255774,151733.33905297046,240202.54875852622,1234704.4717886583,154585.32887602886,270242.7428193816,458294.02403150545,178327.38305809197,75914.3686393183,546925.1170901281,87159.6210180177,152685.7639476143
48,2025-12-31,Pronostico,8339798.657927864,1236404.3763844988,1432368.9565774747,2145671.000025162,371573.161814164,368962.49306506617,891532.2145245594,151733.33892502842,240202.54875863396,1243544.7042428325,154588.86086658065,274785.03668774,458130.98090526223,178327.38305798016,75914.3686393183,550185.9182008517,87159.62092907232,152689.7924677905
49,2026-01-31,Pronostico,8396476.053070609,1236404.3754316065,1432368.956577476,2162492.3586448445,371573.1617429649,368962.49306506925,891532.2145247486,151733.3388965178,240202.54875865148,1252384.9076854081,154590.97390327635,270243.4027957,457988.62004927377,178327.38305796662,75914.3686393183,553446.5632095366,87159.62090855886,152687.3185187442
50,2026-02-28,Pronostico,8453150.398771286,1236404.3751669757,1432368.9565774763,2179312.900826548,371573.1617252686,368962.49306506966,891532.2145247135,151733.33889016448,240202.54875865433,1261225.0821164802,154592.23804144768,274784.37680731335,457864.3178858846,178327.383057965,75914.3686393183,556707.0521236559,87159.62090382785,152688.83779222824
51,2026-03-31,Pronostico,8509821.695193969,1236404.375093484,1432368.9565774763,2196132.6266099,371573.16172087024,368962.4930650697,891532.21452472,151733.3388887487,240202.5487586548,1270065.227536144,154592.9943204652,270244.0625802488,457755.7836422827,178327.3830579648,75914.3686393183,559967.3849506823,87159.62090273673,152687.9047932553
52,2026-04-30,Pronostico,8566489.942502717,1236404.3750730744,1432368.9565774763,2212951.5360345244,371573.16171977704,368962.4930650697,891532.2145247188,151733.3388884332,240202.54875865488,1278905.3439444948,154593.44676938676,274783.7171186285,457661.0171336954,178327.38305796476,75914.3686393183,563227.5616980878,87159.62090248508,152688.47775598563
53,2026-05-31,Pronostico,8623155.140861584,1236404.3750674063,1432368.9565774763,2229769.629140044,371573.1617195053,368962.4930650697,891532.214524719,151733.3388883629,240202.54875865488,1287745.4313416278,154593.717449945,270244.7221730837,457578.2719018517,178327.38305796476,75914.3686393183,566487.5823733446,87159.62090242705,152688.1258946226
54,2026-06-30,Pronostico,8679817.290434614,1236404.3750658322,1432368.9565774763,2246586.90596608,371573.1617194378,368962.4930650697,891532.214524719,151733.33888834724,240202.54875865488,1296585.4897276382,154593.87938637828,274783.0576216298,457506.0230293867,178327.38305796476,75914.3686393183,569747.446983924,87159.62090241366,152688.3419757257
55,2026-07-31,Pronostico,8736476.391385844,1236404.375065395,1432368.9565774763,2263403.36655225,371573.16171942104,368962.4930650697,891532.214524719,151733.33888834374,240202.54875865488,1305425.5191026211,154593.97626591995,270245.3815742603,457442.93903703877,178327.38305796476,75914.3686393183,573007.1555372974,87159.62090241058,152688.20927845335
56,2026-08-31,Pronostico,8793132.443879299,1236404.3750652736,1432368.9565774763,2280219.0109381718,371573.16171941685,368962.4930650697,891532.214524719,151733.33888834296,240202.54875865488,1314265.5194666719,154594.03422474617,274782.3983162614,457387.85734572954,178327.38305796476,75914.3686393183,576266.7080409353,87159.62090240986,152688.29076899478
