Participacion_Credito_BBVA,Participacion_Credito_Santander,Participacion_Credito_banorte,Participacion_Credito_banamex,Participacion_Credito_HSBC,Participacion_Consumo_BBVA,Participacion_Consumo_Santander,Participacion_Consumo_banorte,Participacion_Consumo_banamex,Participacion_Consumo_HSBC,Participacion_Vivienda_BBVA,Participacion_Vivienda_Santander,Participacion_Vivienda_banorte,Participacion_Vivienda_banamex,Participacion_Vivienda_HSBC,Fecha
0.2460124478273111,0.12773225202515714,0.14881175373230152,0.09184385445919001,0.06829418011388848,0.3014148040317677,0.12799646206858428,0.12469144447106083,0.14127107556800383,0.07129595164827066,0.2530192240518672,0.1683678724974693,0.19264403710510764,0.053478971732797996,0.10812357732644641,2023-06-01
0.2462407601452491,0.12741430192197556,0.14872300493501947,0.09129180977314288,0.06913499841544504,0.3010093129445001,0.12245208021943728,0.12144358852224758,0.14648916774797563,0.07051886405072023,0.25516996225250266,0.17306299842212505,0.18783197355869088,0.056744389185071104,0.10174748418430761,2023-07-01
0.2468220077806515,0.12650863886082642,0.14922873782199592,0.09098769103490092,0.06808480977095445,0.30144690331980845,0.1223056366831971,0.12087637454181939,0.1472082835133387,0.07059493240815153,0.25611978141714276,0.17354799418327652,0.18698943129513243,0.05719115228298111,0.10012221748082843,2023-08-01
0.24540417060600622,0.12725762642370048,0.1494108450174332,0.09150536964209145,0.06768489989509278,0.3015273346600764,0.12211228106411454,0.12185748544659916,0.14378175951187594,0.07018222542386224,0.256833390801327,0.17439415902007585,0.18653357525684847,0.05714773514731334,0.09937750446074378,2023-09-01
0.24593166691846216,0.12543062612238154,0.15013987674176127,0.09150372520899647,0.06832831850964848,0.301948068733876,0.12180513453289607,0.12166812863733419,0.1444102456283056,0.07069159542072874,0.25691327461675334,0.1750741964822312,0.18539047874326625,0.057896435955855516,0.09861873586558068,2023-10-01
0.24689090297098687,0.1269271870483615,0.14900701319549386,0.09142398821208826,0.06811811802976166,0.30097879991879584,0.12880499405469678,0.1245403265566544,0.14039035990835533,0.07169238131144688,0.252808790304125,0.16839533022772896,0.1927202606127348,0.05317003567912441,0.10835210979893439,2023-11-01
0.24715331718384145,0.1269244373645878,0.14587828060166547,0.08922106055853377,0.06900205766920056,0.30144432080412403,0.12107192081740033,0.12126145735253271,0.14555881834014908,0.07095653935983817,0.25789707958987373,0.17566120240945773,0.18418332889916705,0.05815750158606717,0.09860477252727012,2023-12-01
0.2473255659612123,0.1275423641324386,0.14699269965341788,0.08861898090111349,0.06923692942998304,0.2999890021977866,0.12099356273802703,0.12062815189029161,0.1469368460077091,0.07152296500747674,0.2581703649201616,0.17596457938013915,0.18260379420585438,0.05918754598613639,0.09822939928659635,2024-01-01
0.24839116572385242,0.1280579342394054,0.14561861707283943,0.08800996017286221,0.06945544042473638,0.30067233804071747,0.12033467812916507,0.12063914325847742,0.1473234012437266,0.07156457355123097,0.25786813994761904,0.1767066471777066,0.18224728113176683,0.06076580355902182,0.0971290721460898,2024-02-01
0.24460153626073344,0.12564427442723003,0.14552864902436635,0.0870369301292043,0.06928394403669154,0.30044731911694267,0.12623539505356915,0.12483477538547358,0.1429336918757996,0.07097079313878261,0.25397493553140904,0.16898737739473169,0.19080641824161867,0.056177450539728745,0.105865631047027,2024-03-01
0.246311205110175,0.12465053030957768,0.1462931735221635,0.08599201154710738,0.06907447706241313,0.25397493553140904,0.16898737739473169,0.19080641824161867,0.056177450539728745,0.105865631047027,0.25450358976256177,0.17079983303804014,0.18971253750813297,0.056645624848700775,0.1040198745855105,2024-04-01
0.24714334148476502,0.12446223489559875,0.1466540425291965,0.08572198405194191,0.0686224421314396,0.30123345935296536,0.12003620897175828,0.12061201192487003,0.14867944018447596,0.07191970514508683,0.2567129434962237,0.17657989239250432,0.1828701177169461,0.06323416529040962,0.09585011531930654,2024-05-01
0.2494716509582754,0.12208587663491476,0.14732389028548512,0.08537631787042277,0.0680090467598851,0.3006896994897587,0.12531591308579593,0.1233841902790066,0.14431889334617493,0.07118378951509448,0.25505249525097134,0.1716450895287371,0.18917140215375966,0.056570721933606224,0.10313232768216526,2024-06-01
0.2509742658805961,0.12174443595766594,0.14687229322560505,0.08470711715507447,0.06894042862442538,0.30059740989476946,0.12011527238571743,0.12015699742881013,0.14896953051908735,0.0720072249230173,0.25675348186140556,0.17691165539654607,0.1835543651446729,0.06393042968728806,0.09504428171744701,2024-07-01
0.25143714768473635,0.12212317102815828,0.14661266545443713,0.08369525871515004,0.06771662776368408,0.3008280830058739,0.12537358601808266,0.12344097419316397,0.1443853118365222,0.0712165497429979,0.25505249525097134,0.1716450895287371,0.18917140215375966,0.056570721933606224,0.10313232768216526,2024-08-01
0.25050321146786825,0.1190710642066095,0.1470866313770484,0.08448749255415934,0.06859177205491036,0.30038312572977766,0.12407125607460692,0.12239100712737784,0.14475328586039932,0.07108627933494974,0.25516996225250266,0.17306299842212505,0.18783197355869088,0.056744389185071104,0.10174748418430761,2024-09-01
0.25249750754881684,0.12150082641240474,0.14707659814190022,0.08441150780284866,0.06775678314825237,0.2988271886770917,0.11902180116425065,0.11999296122969219,0.15141250998744435,0.07172602062169463,0.2568193773544351,0.16748659456768894,0.19139365589329954,0.051900092763329075,0.10779282667963845,2024-10-01
0.25475940078026615,0.12067151379474042,0.14745044325751172,0.0837128767134852,0.06771184047398987,0.30175066934485967,0.12273885096409252,0.12222468997800985,0.14539122200283602,0.07066703438939723,0.2574197587885237,0.16743294104764567,0.1915470693690064,0.052192761409533064,0.10727396777576402,2024-11-01
0.2537722118298067,0.11638434808220766,0.14850448440563216,0.06041231255790246,0.06672113545756396,0.30038312572977766,0.12407125607460692,0.12239100712737784,0.14475328586039932,0.07108627933494974,0.2575552044636917,0.1676544325192672,0.19184393276257247,0.052970732855007516,0.10697123691928757,2024-12-01
