,SistemaBancario,BBVA,Santander,banorte,banamex,HSBC,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
2026-09-30,2473924.5207591765,657144.8474080756,1033742.2725996595,335048.9734787252,301976.5671799424,146011.86009277354,209230.02440926532,212090.75441992123,235824.06857888898,199632.15752691784,481435.02968957846,352675.0853831632,215646.14856070883,21314.47641619262,98088.34850182371,100658.85572664702,100658.85572664738,100658.85572664799,48670.62003092459,48670.62003092483,48670.62003092412
2026-10-31,2489341.2312257,658192.8288224086,1041420.2055848214,337199.386769205,305468.97372818406,147059.83632108127,209579.34463267634,212440.09538743223,236173.38880230003,202191.46852197175,483994.3406846325,355234.39637821715,219386.74169246413,20519.37112931451,97293.27394742634,101822.99124272757,101822.99124272795,101822.99124272855,49019.94544036049,49019.945440360745,49019.94544036003
2026-11-30,2504280.698996263,659598.1281142039,1049455.4367729118,337443.418381999,309318.58321684564,148465.13251030276,210047.7735931765,212908.53675822722,236641.81776280017,204869.87891800184,486672.75108066254,357912.80677424744,216444.73225401863,22112.401091475273,98886.28503650514,103106.19440561476,103106.19440561513,103106.19440561577,49488.37750343433,49488.37750343459,49488.37750343386
2026-12-31,2519697.5669410727,660644.7639975254,1057131.9840410538,339599.63883642375,312809.4135285804,149511.76653748925,210396.64974610336,213257.42033569503,236990.69391572708,207428.72800738254,489231.6001700433,360471.65586362797,220186.38886100706,21319.67722013206,98093.57275528465,104269.80450952637,104269.8045095267,104269.80450952733,49837.255512496486,49837.25551249674,49837.25551249603
2027-01-31,2534637.1330282916,662048.7635267059,1065165.8739429023,339849.2393798841,316657.49122257397,150915.7649562245,210864.64810856996,213725.42313994226,237458.6922781937,210106.6913079987,491909.5634706594,363149.6191642443,217247.11031349486,22914.120324415573,99688.00874197368,105552.49707419089,105552.49707419123,105552.49707419185,50305.254985408246,50305.25498540848,50305.25498540777
2027-02-28,2550053.785321203,663094.3359835608,1072841.3154607688,342009.77184145787,320147.0252866676,151961.33674874826,211213.17137507998,214073.94906377705,237807.21554470374,212665.1718139542,494468.04397661495,365708.09967019974,220989.328291017,22123.275380953237,98897.1681694876,106715.6750955554,106715.67509555574,106715.6750955564,50653.778916249496,50653.77891624974,50653.77891624902
2027-03-31,2564993.1228486984,664497.2823053496,1080874.1093527605,342263.6320329933,323993.81648449844,153364.2826730966,211680.8196190889,214541.59889754798,238274.8637887127,215342.76977795138,497145.64194061205,368385.69763419696,218052.34639235755,23718.697768177874,100492.58787245791,107997.9388281657,107997.93882816605,107997.9388281667,51121.42755769893,51121.42755769919,51121.42755769847
2027-04-30,2580409.274631444,665542.0058634948,1088548.6588831495,344427.3358054602,327482.2680858686,154409.00599347037,212029.06048810884,214889.84071765345,238623.10465773256,217900.9529547478,499703.8251174085,370943.8808109932,221794.74426469233,22929.349894032068,99703.24164673587,109160.75602862242,109160.75602862278,109160.75602862342,51469.6686644902,51469.66866449045,51469.66866448973
2027-05-31,2595348.134458113,666944.0864103362,1096580.5437402013,344684.45812493906,331327.9597845727,155811.08639806352,212496.4204807248,215357.20127926278,239090.46465034861,220578.2479070984,502381.1200697591,373621.1757633439,218859.72717344895,24525.420105548783,101299.31084594133,110442.6532615238,110442.65326152414,110442.65326152477,51937.02879935458,51937.028799354826,51937.0287993541
2027-06-30,2610763.5684373747,667988.1244324467,1104254.3643721845,346850.46326326346,334815.4920344078,156855.12433507285,212844.43304129364,215705.21418023558,239438.47721091742,223136.18811775945,504939.0602804201,376179.1159740049,222602.0146488066,23737.27862619759,100511.16998825927,111605.1640114688,111605.16401146917,111605.1640114698,52285.041445024355,52285.04144502462,52285.04144502387
